date,home_team,wx_temp_f,wx_wind_mph,wx_precip_pct,roof,surface,neutral_site
2025-10-26,Atlanta Falcons,,,,retractable,artificial,
2025-10-26,Baltimore Ravens,,,,open,grass,
2025-10-26,Carolina Panthers,,,,open,grass,
2025-10-26,Cincinnati Bengals,,,,open,artificial,
2025-10-26,Houston Texans,,,,retractable,artificial,
2025-10-26,New England Patriots,,,,open,artificial,
2025-10-26,Philadelphia Eagles,,,,open,grass,
2025-10-26,New Orleans Saints,,,,fixed,artificial,
2025-10-26,Denver Broncos,,,,open,grass,
2025-10-26,Indianapolis Colts,,,,retractable,artificial,
2025-10-26,Pittsburgh Steelers,,,,open,grass,
