date,home_team,wx_temp_f,wx_wind_mph,wx_precip_pct,roof,surface,neutral_site
2025-09-21,Carolina Panthers,,,,open,grass,
2025-09-21,Cleveland Browns,,,,open,grass,
2025-09-21,Jacksonville Jaguars,,,,open,grass,
2025-09-21,Minnesota Vikings,,,,fixed,artificial,
2025-09-21,New England Patriots,,,,open,artificial,
2025-09-21,Philadelphia Eagles,,,,open,grass,
2025-09-21,Tampa Bay Buccaneers,,,,open,grass,
2025-09-21,Tennessee Titans,,,,open,grass,
2025-09-21,Washington Commanders,,,,open,grass,
2025-09-21,Los Angeles Chargers,,,,fixed,artificial,
2025-09-21,Seattle Seahawks,,,,open,artificial,
2025-09-21,Chicago Bears,,,,open,grass,
2025-09-21,San Francisco 49ers,,,,open,grass,
2025-09-21,New York Giants,,,,open,artificial,
