date,home_team,wx_temp_f,wx_wind_mph,wx_precip_pct,roof,surface,neutral_site
2025-10-05,Cleveland Browns,,,,open,grass,
2025-10-05,Baltimore Ravens,,,,open,grass,
2025-10-05,Carolina Panthers,,,,open,grass,
2025-10-05,Indianapolis Colts,,,,retractable,artificial,
2025-10-05,New Orleans Saints,,,,fixed,artificial,
2025-10-05,New York Jets,,,,open,artificial,
2025-10-05,Philadelphia Eagles,,,,open,grass,
2025-10-05,Arizona Cardinals,,,,retractable,grass,
2025-10-05,Seattle Seahawks,,,,open,artificial,
2025-10-05,Cincinnati Bengals,,,,open,artificial,
2025-10-05,Los Angeles Chargers,,,,fixed,artificial,
2025-10-05,Buffalo Bills,,,,open,grass,
