date,home_team,wx_temp_f,wx_wind_mph,wx_precip_pct,roof,surface,neutral_site
2025-09-28,Pittsburgh Steelers,,,,open,grass,
2025-09-28,Atlanta Falcons,,,,retractable,artificial,
2025-09-28,Buffalo Bills,,,,open,grass,
2025-09-28,Detroit Lions,,,,fixed,artificial,
2025-09-28,Houston Texans,,,,retractable,artificial,
2025-09-28,New England Patriots,,,,open,artificial,
2025-09-28,New York Giants,,,,open,artificial,
2025-09-28,Tampa Bay Buccaneers,,,,open,grass,
2025-09-28,Los Angeles Rams,,,,fixed,artificial,
2025-09-28,San Francisco 49ers,,,,open,grass,
2025-09-28,Kansas City Chiefs,,,,open,grass,
2025-09-28,Las Vegas Raiders,,,,fixed,grass,
2025-09-28,Dallas Cowboys,,,,retractable,artificial,
