date,home_team,wx_temp_f,wx_wind_mph,wx_precip_pct,roof,surface,neutral_site
2025-12-21,Baltimore Ravens,,,,open,grass,
2025-12-21,Carolina Panthers,,,,open,grass,
2025-12-21,Cleveland Browns,,,,open,grass,
2025-12-21,Dallas Cowboys,,,,retractable,artificial,
2025-12-21,New Orleans Saints,,,,fixed,artificial,
2025-12-21,New York Giants,,,,open,artificial,
2025-12-21,Tennessee Titans,,,,open,grass,
2025-12-21,Arizona Cardinals,,,,retractable,grass,
2025-12-21,Denver Broncos,,,,open,grass,
2025-12-21,Detroit Lions,,,,fixed,artificial,
2025-12-21,Houston Texans,,,,retractable,artificial,
2025-12-21,Miami Dolphins,,,,open,grass,
