date,home_team,wx_temp_f,wx_wind_mph,wx_precip_pct,roof,surface,neutral_site
2025-12-28,Carolina Panthers,,,,open,grass,
2025-12-28,Cincinnati Bengals,,,,open,artificial,
2025-12-28,Cleveland Browns,,,,open,grass,
2025-12-28,Green Bay Packers,,,,open,grass,
2025-12-28,Indianapolis Colts,,,,retractable,artificial,
2025-12-28,Los Angeles Chargers,,,,fixed,artificial,
2025-12-28,Las Vegas Raiders,,,,fixed,grass,
2025-12-28,Miami Dolphins,,,,open,grass,
2025-12-28,New York Jets,,,,open,artificial,
2025-12-28,Tennessee Titans,,,,open,grass,
2025-12-28,Buffalo Bills,,,,open,grass,
2025-12-28,San Francisco 49ers,,,,open,grass,
