date,home_team,wx_temp_f,wx_wind_mph,wx_precip_pct,roof,surface,neutral_site
2025-11-16,Miami Dolphins,,,,open,grass,
2025-11-16,Atlanta Falcons,,,,retractable,artificial,
2025-11-16,Buffalo Bills,,,,open,grass,
2025-11-16,Jacksonville Jaguars,,,,open,grass,
2025-11-16,Minnesota Vikings,,,,fixed,artificial,
2025-11-16,New York Giants,,,,open,artificial,
2025-11-16,Pittsburgh Steelers,,,,open,grass,
2025-11-16,Tennessee Titans,,,,open,grass,
2025-11-16,Arizona Cardinals,,,,retractable,grass,
2025-11-16,Los Angeles Rams,,,,fixed,artificial,
2025-11-16,Cleveland Browns,,,,open,grass,
2025-11-16,Denver Broncos,,,,open,grass,
2025-11-16,Philadelphia Eagles,,,,open,grass,
