date,home_team,wx_temp_f,wx_wind_mph,wx_precip_pct,roof,surface,neutral_site
2025-11-23,Baltimore Ravens,,,,open,grass,
2025-11-23,Chicago Bears,,,,open,grass,
2025-11-23,Cincinnati Bengals,,,,open,artificial,
2025-11-23,Detroit Lions,,,,fixed,artificial,
2025-11-23,Green Bay Packers,,,,open,grass,
2025-11-23,Kansas City Chiefs,,,,open,grass,
2025-11-23,Tennessee Titans,,,,open,grass,
2025-11-23,Arizona Cardinals,,,,retractable,grass,
2025-11-23,Las Vegas Raiders,,,,fixed,grass,
2025-11-23,Dallas Cowboys,,,,retractable,artificial,
2025-11-23,New Orleans Saints,,,,fixed,artificial,
2025-11-23,Los Angeles Rams,,,,fixed,artificial,
