date,home_team,wx_temp_f,wx_wind_mph,wx_precip_pct,roof,surface,neutral_site
2026-01-04,Atlanta Falcons,,,,retractable,artificial,
2026-01-04,Buffalo Bills,,,,open,grass,
2026-01-04,Chicago Bears,,,,open,grass,
2026-01-04,Cincinnati Bengals,,,,open,artificial,
2026-01-04,Denver Broncos,,,,open,grass,
2026-01-04,Houston Texans,,,,retractable,artificial,
2026-01-04,Jacksonville Jaguars,,,,open,grass,
2026-01-04,Los Angeles Rams,,,,fixed,artificial,
2026-01-04,Las Vegas Raiders,,,,fixed,grass,
2026-01-04,Minnesota Vikings,,,,fixed,artificial,
2026-01-04,New England Patriots,,,,open,artificial,
2026-01-04,New York Giants,,,,open,artificial,
2026-01-04,Philadelphia Eagles,,,,open,grass,
2026-01-04,Pittsburgh Steelers,,,,open,grass,
2026-01-04,San Francisco 49ers,,,,open,grass,
2026-01-04,Tampa Bay Buccaneers,,,,open,grass,
