date,home_team,wx_temp_f,wx_wind_mph,wx_precip_pct,roof,surface,neutral_site
2025-09-07,Atlanta Falcons,74.0,7.5,0.0,retractable,artificial,
2025-09-07,Cleveland Browns,64.4,9.6,0.0,open,grass,
2025-09-07,Indianapolis Colts,69.0,7.9,0.0,retractable,artificial,
2025-09-07,Jacksonville Jaguars,92.5,10.8,0.0,open,grass,
2025-09-07,New England Patriots,75.5,7.0,0.0,open,artificial,
2025-09-07,New Orleans Saints,91.2,8.8,0.0,fixed,artificial,
2025-09-07,New York Jets,80.1,10.6,0.0,open,artificial,
2025-09-07,Washington Commanders,79.0,2.3,0.0,open,grass,
2025-09-07,Denver Broncos,74.8,4.4,2.0,open,grass,
2025-09-07,Seattle Seahawks,65.7,6.1,66.0,open,artificial,
2025-09-07,Green Bay Packers,58.0,9.2,0.0,open,grass,
2025-09-07,Los Angeles Rams,76.9,11.3,0.0,fixed,artificial,
2025-09-07,Buffalo Bills,60.8,8.9,20.0,open,grass,
