season,team,player,position,rush_share,target_share,rz_rush_share,rz_target_share
2025,Arizona Cardinals,Kyler,QB,0.38461538461538464,0.0,0.38461538461538464,0.0
2025,Arizona Cardinals,Kyler,QB,0.07692307692307693,0.0,0.07692307692307693,0.0
2025,Arizona Cardinals,Kyler,QB,0.038461538461538464,0.0,0.038461538461538464,0.0
2025,Arizona Cardinals,Kyler,QB,0.0,0.0,0.0,0.0
2025,Arizona Cardinals,Kyler,QB,0.0,0.0,0.0,0.0
2025,Arizona Cardinals,Kyler,QB,0.0,0.0,0.0,0.0
2025,Arizona Cardinals,Kyler,QB,0.0,0.0,0.0,0.0
2025,Arizona Cardinals,Kyler,QB,0.0,0.0,0.0,0.0
2025,Arizona Cardinals,Kyler,QB,0.0,0.0,0.0,0.0
2025,Arizona Cardinals,Kyler,QB,0.0,0.0,0.0,0.0
2025,Arizona Cardinals,Kyler,QB,0.0,0.0,0.0,0.0
2025,Arizona Cardinals,Kyler,QB,0.0,0.0,0.0,0.0
2025,Arizona Cardinals,Kyler,QB,0.0,0.0,0.0,0.0
2025,Arizona Cardinals,Kyler,QB,0.0,0.0,0.0,0.0
2025,Arizona Cardinals,Kyler,QB,0.0,0.0,0.0,0.0
2025,Arizona Cardinals,Kyler,QB,0.0,0.0,0.0,0.0
2025,Arizona Cardinals,Kyler,QB,0.0,0.0,0.0,0.0
2025,Arizona Cardinals,Kyler,QB,0.0,0.0,0.0,0.0
2025,Arizona Cardinals,Kyler,QB,0.0,0.0,0.0,0.0
2025,Arizona Cardinals,Kyler,QB,0.0,0.0,0.0,0.0
2025,Arizona Cardinals,Kyler,QB,0.0,0.0,0.0,0.0
2025,Arizona Cardinals,Kyler,QB,0.0,0.0,0.0,0.0
2025,Arizona Cardinals,Kyler,QB,0.0,0.0,0.0,0.0
2025,Arizona Cardinals,Kyler,QB,0.0,0.0,0.0,0.0
2025,Arizona Cardinals,Kyler,QB,0.0,0.0,0.0,0.0
2025,Arizona Cardinals,Kyler,QB,0.0,0.0,0.0,0.0
2025,Arizona Cardinals,Kyler,QB,0.0,0.0,0.0,0.0
2025,Arizona Cardinals,Kyler,QB,0.0,0.0,0.0,0.0
2025,Arizona Cardinals,Kyler,QB,0.0,0.0,0.0,0.0
2025,Arizona Cardinals,Kyler,QB,0.0,0.0,0.0,0.0
2025,Arizona Cardinals,Kyler,QB,0.0,0.0,0.0,0.0
2025,Arizona Cardinals,Jacoby,QB,0.0,0.0,0.0,0.0
2025,Arizona Cardinals,Jacoby,QB,0.0,0.0,0.0,0.0
2025,Arizona Cardinals,Jacoby,QB,0.0,0.0,0.0,0.0
2025,Arizona Cardinals,Jacoby,QB,0.0,0.0,0.0,0.0
2025,Arizona Cardinals,Jacoby,QB,0.0,0.0,0.0,0.0
2025,Arizona Cardinals,Jacoby,QB,0.0,0.0,0.0,0.0
2025,Arizona Cardinals,Jacoby,QB,0.0,0.0,0.0,0.0
2025,Arizona Cardinals,Jacoby,QB,0.0,0.0,0.0,0.0
2025,Arizona Cardinals,Jacoby,QB,0.0,0.0,0.0,0.0
2025,Arizona Cardinals,Jacoby,QB,0.0,0.0,0.0,0.0
2025,Arizona Cardinals,Jacoby,QB,0.0,0.0,0.0,0.0
2025,Arizona Cardinals,Jacoby,QB,0.0,0.0,0.0,0.0
2025,Arizona Cardinals,Jacoby,QB,0.0,0.0,0.0,0.0
2025,Arizona Cardinals,Jacoby,QB,0.0,0.0,0.0,0.0
2025,Arizona Cardinals,Jacoby,QB,0.0,0.0,0.0,0.0
2025,Arizona Cardinals,Jacoby,QB,0.0,0.0,0.0,0.0
2025,Arizona Cardinals,Jacoby,QB,0.0,0.0,0.0,0.0
2025,Arizona Cardinals,Jacoby,QB,0.0,0.0,0.0,0.0
2025,Arizona Cardinals,Jacoby,QB,0.0,0.0,0.0,0.0
2025,Arizona Cardinals,Jacoby,QB,0.0,0.0,0.0,0.0
2025,Arizona Cardinals,Jacoby,QB,0.0,0.0,0.0,0.0
2025,Arizona Cardinals,Jacoby,QB,0.0,0.0,0.0,0.0
2025,Arizona Cardinals,Jacoby,QB,0.0,0.0,0.0,0.0
2025,Arizona Cardinals,Jacoby,QB,0.0,0.0,0.0,0.0
2025,Arizona Cardinals,Jacoby,QB,0.0,0.0,0.0,0.0
2025,Arizona Cardinals,Jacoby,QB,0.0,0.0,0.0,0.0
2025,Arizona Cardinals,Jacoby,QB,0.0,0.0,0.0,0.0
2025,Arizona Cardinals,Jacoby,QB,0.0,0.0,0.0,0.0
2025,Arizona Cardinals,Jacoby,QB,0.0,0.0,0.0,0.0
2025,Arizona Cardinals,Jacoby,QB,0.0,0.0,0.0,0.0
2025,Arizona Cardinals,Jacoby,QB,0.0,0.0,0.0,0.0
2025,Arizona Cardinals,James,RB,0.3,0.19999999999999998,0.35,0.2333333333333333
2025,Arizona Cardinals,James,RB,0.125,0.08333333333333333,0.125,0.08333333333333333
2025,Arizona Cardinals,James,RB,0.05,0.03333333333333333,0.025,0.016666666666666666
2025,Arizona Cardinals,James,RB,0.025,0.016666666666666666,0.0,0.0
2025,Arizona Cardinals,James,RB,0.0,0.0,0.0,0.0
