date,home_team,wx_temp_f,wx_wind_mph,wx_precip_pct,roof,surface,neutral_site
2025-11-09,Indianapolis Colts,,,,retractable,artificial,
2025-11-09,Carolina Panthers,,,,open,grass,
2025-11-09,Chicago Bears,,,,open,grass,
2025-11-09,Houston Texans,,,,retractable,artificial,
2025-11-09,Miami Dolphins,,,,open,grass,
2025-11-09,Minnesota Vikings,,,,fixed,artificial,
2025-11-09,New York Jets,,,,open,artificial,
2025-11-09,Tampa Bay Buccaneers,,,,open,grass,
2025-11-09,Seattle Seahawks,,,,open,artificial,
2025-11-09,San Francisco 49ers,,,,open,grass,
2025-11-09,Washington Commanders,,,,open,grass,
2025-11-09,Los Angeles Chargers,,,,fixed,artificial,
