date,home_team,wx_temp_f,wx_wind_mph,wx_precip_pct,roof,surface,neutral_site
2025-11-30,Carolina Panthers,,,,open,grass,
2025-11-30,Cleveland Browns,,,,open,grass,
2025-11-30,Indianapolis Colts,,,,retractable,artificial,
2025-11-30,Miami Dolphins,,,,open,grass,
2025-11-30,New York Jets,,,,open,artificial,
2025-11-30,Tampa Bay Buccaneers,,,,open,grass,
2025-11-30,Tennessee Titans,,,,open,grass,
2025-11-30,Seattle Seahawks,,,,open,artificial,
2025-11-30,Los Angeles Chargers,,,,fixed,artificial,
2025-11-30,Pittsburgh Steelers,,,,open,grass,
2025-11-30,Washington Commanders,,,,open,grass,
