date,home_team,wx_temp_f,wx_wind_mph,wx_precip_pct,roof,surface,neutral_site
2025-12-07,Atlanta Falcons,,,,retractable,artificial,
2025-12-07,Baltimore Ravens,,,,open,grass,
2025-12-07,Cleveland Browns,,,,open,grass,
2025-12-07,Green Bay Packers,,,,open,grass,
2025-12-07,Jacksonville Jaguars,,,,open,grass,
2025-12-07,Minnesota Vikings,,,,fixed,artificial,
2025-12-07,New York Jets,,,,open,artificial,
2025-12-07,Tampa Bay Buccaneers,,,,open,grass,
2025-12-07,Las Vegas Raiders,,,,fixed,grass,
2025-12-07,Arizona Cardinals,,,,retractable,grass,
2025-12-07,Buffalo Bills,,,,open,grass,
2025-12-07,Kansas City Chiefs,,,,open,grass,
