date,home_team,wx_temp_f,wx_wind_mph,wx_precip_pct,roof,surface,neutral_site
2025-12-14,Chicago Bears,,,,open,grass,
2025-12-14,Cincinnati Bengals,,,,open,artificial,
2025-12-14,Houston Texans,,,,retractable,artificial,
2025-12-14,Jacksonville Jaguars,,,,open,grass,
2025-12-14,Kansas City Chiefs,,,,open,grass,
2025-12-14,New England Patriots,,,,open,artificial,
2025-12-14,New York Giants,,,,open,artificial,
2025-12-14,Philadelphia Eagles,,,,open,grass,
2025-12-14,Denver Broncos,,,,open,grass,
2025-12-14,Los Angeles Rams,,,,fixed,artificial,
2025-12-14,New Orleans Saints,,,,fixed,artificial,
2025-12-14,Seattle Seahawks,,,,open,artificial,
2025-12-14,San Francisco 49ers,,,,open,grass,
2025-12-14,Dallas Cowboys,,,,retractable,artificial,
