player,rush_td,rec_td,total_td
B.Robinson,24,1,25
D.Henry,19,2,21
J.Cook,19,2,21
J.Gibbs,18,3,21
S.Barkley,18,2,20
J.Hurts,19,0,19
J.Jacobs,16,1,17
K.Williams,14,3,17
J.Chase,0,17,17
T.McLaurin,0,16,16
J.Allen,14,0,14
J.Mixon,13,1,14
A.St. Brown,0,14,14
D.Montgomery,12,0,12
J.Taylor,11,1,12
D.Achane,6,6,12
T.Hill,6,6,12
X.Worthy,3,9,12
M.Evans,0,12,12
C.Hubbard,10,1,11
C.Brown,7,4,11
M.Andrews,0,11,11
R.Bateman,0,11,11
J.Addison,1,9,10
B.Thomas,0,10,10
J.Jefferson,0,10,10
T.Higgins,0,10,10
J.Dobbins,9,0,9
K.Hunt,9,0,9
B.Irving,8,1,9
J.Conner,8,1,9
Z.Charbonnet,8,1,9
R.White,3,6,9
A.Brown,0,9,9
D.London,0,9,9
D.Moore,0,9,9
D.Smith,0,9,9
N.Westbrook-Ikhine,0,9,9
K.Walker,7,1,8
R.Stevenson,7,1,8
A.Kamara,6,2,8
B.Hall,5,3,8
J.Williams,4,4,8
C.Sutton,0,8,8
D.Adams,0,8,8
G.Kittle,0,8,8
J.McMillan,0,8,8
J.Smith,0,8,8
L.McConkey,0,8,8
M.Harrison,0,8,8
N.Collins,0,8,8
Q.Johnston,0,8,8
S.LaPorta,0,8,8
Z.Ertz,0,8,8
J.Daniels,7,0,7
T.Bigsby,7,0,7
A.Jones,5,2,7
R.Davis,4,3,7
J.Reed,1,6,7
A.Pierce,0,7,7
D.Robinson,0,7,7
G.Wilson,0,7,7
I.Likely,0,7,7
J.Tolbert,0,7,7
K.Allen,0,7,7
M.Nabers,0,7,7
P.Freiermuth,0,7,7
T.Kraft,0,7,7
A.Richardson,6,0,6
B.Young,6,0,6
D.Swift,6,0,6
N.Harris,6,0,6
R.Johnson,6,0,6
T.Tracy,5,1,6
A.Iosivas,0,6,6
A.Lazard,0,6,6
C.Kupp,0,6,6
C.Lamb,0,6,6
D.Hopkins,0,6,6
J.Jennings,0,6,6
J.Nailor,0,6,6
J.Smith-Njigba,0,6,6
M.Hollins,0,6,6
M.Mims,0,6,6
B.Purdy,5,0,5
J.Fields,5,0,5
J.McNichols,5,0,5
K.Murray,5,0,5
T.Pollard,5,0,5
A.Mattison,4,1,5
B.Nix,4,1,5
Em.Wilson,4,1,5
T.Spears,4,1,5
Ja.Williams,3,2,5
A.Abdullah,2,3,5
C.Akers,2,3,5
R.Dowdle,2,3,5
C.Ridley,1,4,5
J.Hill,1,4,5
Ty.Johnson,1,4,5
A.Cooper,0,5,5
A.Thielen,0,5,5
B.Bowers,0,5,5
C.Godwin,0,5,5
D.Metcalf,0,5,5
D.Mooney,0,5,5
D.Njoku,0,5,5
D.Wicks,0,5,5
F.Moreau,0,5,5
J.Downs,0,5,5
N.Gray,0,5,5
A.Ekeler,4,0,4
D.Singletary,4,0,4
G.Edwards,4,0,4
I.Guerendo,4,0,4
L.Jackson,4,0,4
P.Mahomes,4,0,4
N.Chubb,3,1,4
D.Samuel,1,3,4
P.Nacua,1,3,4
S.Diggs,1,3,4
T.Tucker,1,3,4
A.Barner,0,4,4
C.Austin,0,4,4
C.Kmet,0,4,4
C.Otton,0,4,4
G.Pickens,0,4,4
J.Jeudy,0,4,4
J.Meyers,0,4,4
K.Coleman,0,4,4
K.Pitts,0,4,4
K.Shakir,0,4,4
M.Valdes-Scantling,0,4,4
Mi.Wilson,0,4,4
R.Doubs,0,4,4
T.Conklin,0,4,4
T.Kelce,0,4,4
X.Legette,0,4,4
Z.Flowers,0,4,4
B.Mayfield,3,0,3
E.Elliott,3,0,3
J.Ford,3,0,3
J.Mason,3,0,3
T.Allgeier,3,0,3
T.Lawrence,3,0,3
B.Allen,2,1,3
H.Haskins,2,1,3
M.Sanders,2,1,3
S.Tucker,2,1,3
Z.Moss,2,1,3
J.McLaughlin,1,2,3
K.Juszczyk,1,2,3
T.McBride,1,2,3
A.Hooper,0,3,3
B.Cooks,0,3,3
C.Samuel,0,3,3
C.Tillman,0,3,3
D.Douglas,0,3,3
D.Goedert,0,3,3
D.Vele,0,3,3
G.Dortch,0,3,3
J.Johnson,0,3,3
J.Oliver,0,3,3
K.Boutte,0,3,3
M.Pittman,0,3,3
N.Adkins,0,3,3
N.Vannett,0,3,3
O.Zaccheaus,0,3,3
P.Washington,0,3,3
R.Odunze,0,3,3
R.Pearsall,0,3,3
R.Shaheed,0,3,3
T.Dell,0,3,3
T.Franklin,0,3,3
