player,rush_td,rec_td,total_td
T.Higbee,0,3,3
T.Patrick,0,3,3
V.Jefferson,0,3,3
W.Robinson,0,3,3
A.Estime,2,0,2
C.Rodriguez,2,0,2
D.Jones,2,0,2
D.Lock,2,0,2
D.Maye,2,0,2
D.Pierce,2,0,2
G.Smith,2,0,2
J.Burrow,2,0,2
J.Dobbs,2,0,2
J.Herbert,2,0,2
R.Mostert,2,0,2
R.Wilson,2,0,2
T.Etienne,2,0,2
T.Huntley,2,0,2
T.Sermon,2,0,2
D.Turner,1,1,2
I.Davis,1,1,2
M.Burton,1,1,2
S.Perine,1,1,2
T.Goodson,1,1,2
A.Trautman,0,2,2
B.Strange,0,2,2
B.Wright,0,2,2
C.Okonkwo,0,2,2
C.Parkinson,0,2,2
C.Watson,0,2,2
D.Brown,0,2,2
D.Davis,0,2,2
D.Kincaid,0,2,2
D.Schultz,0,2,2
D.Slayton,0,2,2
Di.Johnson,0,2,2
E.Higgins,0,2,2
G.Davis,0,2,2
H.Henry,0,2,2
J.Akins,0,2,2
J.Coker,0,2,2
J.Crowder,0,2,2
J.Mundt,0,2,2
J.Polk,0,2,2
J.Smith-Schuster,0,2,2
J.Waddle,0,2,2
Ju.Watson,0,2,2
K.Raymond,0,2,2
K.Turpin,0,2,2
M.Gesicki,0,2,2
M.Heath,0,2,2
N.Agholor,0,2,2
P.Durham,0,2,2
R.Miller,0,2,2
R.Rice,0,2,2
T.Johnson,0,2,2
T.Lockett,0,2,2
T.Tremble,0,2,2
W.Dissly,0,2,2
A.Gibson,1,0,1
A.Ingold,1,0,1
A.O'Connell,1,0,1
C.Brooks,1,0,1
C.Ham,1,0,1
D.Carr,1,0,1
D.Prescott,1,0,1
D.Watson,1,0,1
E.Demercado,1,0,1
I.Pacheco,1,0,1
J.Love,1,0,1
J.Milton,1,0,1
J.Warren,1,0,1
J.Winston,1,0,1
K.Gainwell,1,0,1
K.Herbert,1,0,1
K.Miller,1,0,1
K.Pickett,1,0,1
M.Carter,1,0,1
M.Hardman,1,0,1
M.Jones,1,0,1
M.Mariota,1,0,1
M.Penix,1,0,1
M.Rudolph,1,0,1
M.Washington,1,0,1
M.Willis,1,0,1
P.Taylor,1,0,1
S.Darnold,1,0,1
T.Benson,1,0,1
T.Jones,1,0,1
W.Shipley,1,0,1
Z.White,1,0,1
A.Dulin,0,1,1
A.Ogletree,0,1,1
A.Smith,0,1,1
B.Means,0,1,1
B.Sinnott,0,1,1
B.Whiteheart,0,1,1
C.Kirk,0,1,1
C.Kolar,0,1,1
C.Manhertz,0,1,1
C.Olave,0,1,1
C.Patterson,0,1,1
C.Stover,0,1,1
C.Wilson,0,1,1
Co.Heyward,0,1,1
D.Allen,0,1,1
D.Chark,0,1,1
D.Dallas,0,1,1
D.Knox,0,1,1
D.Ogunbowale,0,1,1
D.Pettis,0,1,1
D.Sample,0,1,1
D.Skipper,0,1,1
D.Walker,0,1,1
D.Washington,0,1,1
Dio.Johnson,0,1,1
E.Engram,0,1,1
E.Jenkins,0,1,1
E.Moore,0,1,1
E.Saubert,0,1,1
G.Calcaterra,0,1,1
J.Bobo,0,1,1
J.Brooks,0,1,1
J.Dotson,0,1,1
J.Goff,0,1,1
J.Hasty,0,1,1
J.Metchie,0,1,1
J.Palmer,0,1,1
J.Reynolds,0,1,1
J.Sanders,0,1,1
J.Whyle,0,1,1
J.Wilson,0,1,1
K.Bourne,0,1,1
K.Hodge,0,1,1
K.Osborn,0,1,1
K.Vidal,0,1,1
K.Wilkerson,0,1,1
K.Yeboah,0,1,1
L.Humphrey,0,1,1
L.Schoonmaker,0,1,1
M.Alie-Cox,0,1,1
M.Pruitt,0,1,1
M.Williams,0,1,1
N.Brown,0,1,1
N.Fant,0,1,1
P.Campbell,0,1,1
P.Ricard,0,1,1
Q.Morris,0,1,1
R.McCloud,0,1,1
S.Hubbard,0,1,1
S.Shepard,0,1,1
T.Hockenson,0,1,1
T.Hudson,0,1,1
T.Martin,0,1,1
T.Palmer,0,1,1
T.Scott,0,1,1
T.Shavers,0,1,1
T.Sherfield,0,1,1
T.Wallace,0,1,1
V.Lowe,0,1,1
W.Morris,0,1,1
X.Gipson,0,1,1
