season,week,date,game_id,team,opponent,player,position,is_home,expected_td,anytime_td_prob,exp_rush_td,exp_rec_td
2025,1,2025-09-07,2025_01_ARI_NO,Arizona Cardinals,New Orleans Saints,Greg Dortch,WR,0,0.9575227168248915,0.6161574040560216,0.0,0.9575227168248915
2025,1,2025-09-07,2025_01_ARI_NO,Arizona Cardinals,New Orleans Saints,James Conner,RB,0,0.7806812405054785,0.5419061670912748,0.44993538998576044,0.33074585051971805
2025,1,2025-09-07,2025_01_ARI_NO,Arizona Cardinals,New Orleans Saints,Trey McBride,TE,0,0.5172898517759182,0.40386602790081205,0.0,0.5172898517759182
2025,1,2025-09-07,2025_01_ARI_NO,Arizona Cardinals,New Orleans Saints,Kyler Murray,QB,0,0.254088715082456,0.22437701046330405,0.254088715082456,0.0
2025,1,2025-09-07,2025_01_ARI_NO,Arizona Cardinals,New Orleans Saints,Bam Knight,RB,0,0.0,0.0,0.0,0.0
2025,1,2025-09-07,2025_01_ARI_NO,Arizona Cardinals,New Orleans Saints,Elijah Higgins,TE,0,0.0,0.0,0.0,0.0
2025,1,2025-09-07,2025_01_ARI_NO,Arizona Cardinals,New Orleans Saints,Emari Demercado,RB,0,0.0,0.0,0.0,0.0
2025,1,2025-09-07,2025_01_ARI_NO,Arizona Cardinals,New Orleans Saints,Jacoby Brissett,QB,0,0.0,0.0,0.0,0.0
2025,1,2025-09-07,2025_01_ARI_NO,Arizona Cardinals,New Orleans Saints,Marvin Harrison Jr.,WR,0,0.0,0.0,0.0,0.0
2025,1,2025-09-07,2025_01_ARI_NO,Arizona Cardinals,New Orleans Saints,Michael Wilson,WR,0,0.0,0.0,0.0,0.0
2025,1,2025-09-07,2025_01_ARI_NO,Arizona Cardinals,New Orleans Saints,Tip Reiman,TE,0,0.0,0.0,0.0,0.0
2025,1,2025-09-07,2025_01_ARI_NO,Arizona Cardinals,New Orleans Saints,Travis Vokolek,TE,0,0.0,0.0,0.0,0.0
2025,1,2025-09-07,2025_01_ARI_NO,Arizona Cardinals,New Orleans Saints,Trey Benson,RB,0,0.0,0.0,0.0,0.0
2025,1,2025-09-07,2025_01_ARI_NO,Arizona Cardinals,New Orleans Saints,Xavier Weaver,WR,0,0.0,0.0,0.0,0.0
2025,1,2025-09-07,2025_01_ARI_NO,Arizona Cardinals,New Orleans Saints,Zay Jones,WR,0,0.0,0.0,0.0,0.0
2025,1,2025-09-07,2025_01_ARI_NO,New Orleans Saints,Arizona Cardinals,Chris Olave,WR,1,0.8119882962285623,0.5560255646413116,0.0,0.8119882962285623
2025,1,2025-09-07,2025_01_ARI_NO,New Orleans Saints,Arizona Cardinals,Alvin Kamara,RB,1,0.6615951501964683,0.4839724638003765,0.3592645998221934,0.302330550374275
2025,1,2025-09-07,2025_01_ARI_NO,New Orleans Saints,Arizona Cardinals,Juwan Johnson,TE,1,0.38863691093966624,0.32201960740726954,0.0,0.38863691093966624
2025,1,2025-09-07,2025_01_ARI_NO,New Orleans Saints,Arizona Cardinals,Spencer Rattler,QB,1,0.22676854701798696,0.2028947466710086,0.22676854701798696,0.0
2025,1,2025-09-07,2025_01_ARI_NO,New Orleans Saints,Arizona Cardinals,Brandin Cooks,WR,1,0.0,0.0,0.0,0.0
2025,1,2025-09-07,2025_01_ARI_NO,New Orleans Saints,Arizona Cardinals,Devaughn Vele,WR,1,0.0,0.0,0.0,0.0
2025,1,2025-09-07,2025_01_ARI_NO,New Orleans Saints,Arizona Cardinals,Devin Neal,RB,1,0.0,0.0,0.0,0.0
2025,1,2025-09-07,2025_01_ARI_NO,New Orleans Saints,Arizona Cardinals,Jake Haener,QB,1,0.0,0.0,0.0,0.0
2025,1,2025-09-07,2025_01_ARI_NO,New Orleans Saints,Arizona Cardinals,Kendre Miller,RB,1,0.0,0.0,0.0,0.0
2025,1,2025-09-07,2025_01_ARI_NO,New Orleans Saints,Arizona Cardinals,Mason Tipton,WR,1,0.0,0.0,0.0,0.0
2025,1,2025-09-07,2025_01_ARI_NO,New Orleans Saints,Arizona Cardinals,Moliki Matavao,TE,1,0.0,0.0,0.0,0.0
2025,1,2025-09-07,2025_01_ARI_NO,New Orleans Saints,Arizona Cardinals,Rashid Shaheed,WR,1,0.0,0.0,0.0,0.0
2025,1,2025-09-07,2025_01_ARI_NO,New Orleans Saints,Arizona Cardinals,Trey Palmer,WR,1,0.0,0.0,0.0,0.0
2025,1,2025-09-07,2025_01_ARI_NO,New Orleans Saints,Arizona Cardinals,Tyler Shough,QB,1,0.0,0.0,0.0,0.0
2025,1,2025-09-07,2025_01_ARI_NO,New Orleans Saints,Arizona Cardinals,Velus Jones Jr.,RB,1,0.0,0.0,0.0,0.0
2025,1,2025-09-07,2025_01_BAL_BUF,Baltimore Ravens,Buffalo Bills,Tylan Wallace,WR,0,0.9272949158440027,0.6043775437657433,0.0,0.9272949158440027
2025,1,2025-09-07,2025_01_BAL_BUF,Baltimore Ravens,Buffalo Bills,Derrick Henry,RB,0,0.8410238205843015,0.5687312445071245,0.49410011980550067,0.3469237007788008
2025,1,2025-09-07,2025_01_BAL_BUF,Baltimore Ravens,Buffalo Bills,Mark Andrews,TE,0,0.6468865029099325,0.47632630228364803,0.0,0.6468865029099325
2025,1,2025-09-07,2025_01_BAL_BUF,Baltimore Ravens,Buffalo Bills,Lamar Jackson,QB,0,0.2549780037258314,0.22506645657570445,0.2549780037258314,0.0
2025,1,2025-09-07,2025_01_BAL_BUF,Baltimore Ravens,Buffalo Bills,Charlie Kolar,TE,0,0.0,0.0,0.0,0.0
2025,1,2025-09-07,2025_01_BAL_BUF,Baltimore Ravens,Buffalo Bills,Cooper Rush,QB,0,0.0,0.0,0.0,0.0
2025,1,2025-09-07,2025_01_BAL_BUF,Baltimore Ravens,Buffalo Bills,DeAndre Hopkins,WR,0,0.0,0.0,0.0,0.0
2025,1,2025-09-07,2025_01_BAL_BUF,Baltimore Ravens,Buffalo Bills,Devontez Walker,WR,0,0.0,0.0,0.0,0.0
2025,1,2025-09-07,2025_01_BAL_BUF,Baltimore Ravens,Buffalo Bills,Isaiah Likely,TE,0,0.0,0.0,0.0,0.0
2025,1,2025-09-07,2025_01_BAL_BUF,Baltimore Ravens,Buffalo Bills,Justice Hill,RB,0,0.0,0.0,0.0,0.0
2025,1,2025-09-07,2025_01_BAL_BUF,Baltimore Ravens,Buffalo Bills,Keaton Mitchell,RB,0,0.0,0.0,0.0,0.0
2025,1,2025-09-07,2025_01_BAL_BUF,Baltimore Ravens,Buffalo Bills,LaJohntay Wester,WR,0,0.0,0.0,0.0,0.0
2025,1,2025-09-07,2025_01_BAL_BUF,Baltimore Ravens,Buffalo Bills,Patrick Ricard,FB,0,0.0,0.0,0.0,0.0
2025,1,2025-09-07,2025_01_BAL_BUF,Baltimore Ravens,Buffalo Bills,Rasheen Ali,RB,0,0.0,0.0,0.0,0.0
2025,1,2025-09-07,2025_01_BAL_BUF,Baltimore Ravens,Buffalo Bills,Rashod Bateman,WR,0,0.0,0.0,0.0,0.0
2025,1,2025-09-07,2025_01_BAL_BUF,Baltimore Ravens,Buffalo Bills,Zay Flowers,WR,0,0.0,0.0,0.0,0.0
2025,1,2025-09-07,2025_01_BAL_BUF,Buffalo Bills,Baltimore Ravens,Khalil Shakir,WR,1,1.2214047303127151,0.7051842606930259,0.0,1.2214047303127151
2025,1,2025-09-07,2025_01_BAL_BUF,Buffalo Bills,Baltimore Ravens,Dalton Kincaid,TE,1,0.6984089069702526,0.5026239538875741,0.0,0.6984089069702526
2025,1,2025-09-07,2025_01_BAL_BUF,Buffalo Bills,Baltimore Ravens,Josh Allen,QB,1,0.2791847820334185,0.24359987885162593,0.2791847820334185,0.0
2025,1,2025-09-07,2025_01_BAL_BUF,Buffalo Bills,Baltimore Ravens,Ray Davis,RB,1,0.12984668235888977,0.12176993123838586,0.12984668235888977,0.0
2025,1,2025-09-07,2025_01_BAL_BUF,Buffalo Bills,Baltimore Ravens,Ty Johnson,RB,1,0.12984668235888977,0.12176993123838586,0.12984668235888977,0.0
2025,1,2025-09-07,2025_01_BAL_BUF,Buffalo Bills,Baltimore Ravens,James Cook,RB,1,0.1257889735351745,0.11819908952063807,0.1257889735351745,0.0
