date,home_team,wx_temp_f,wx_wind_mph,wx_precip_pct,roof,surface,neutral_site
2025-10-12,New York Jets,,,,open,artificial,
2025-10-12,Baltimore Ravens,,,,open,grass,
2025-10-12,Carolina Panthers,,,,open,grass,
2025-10-12,Indianapolis Colts,,,,retractable,artificial,
2025-10-12,Jacksonville Jaguars,,,,open,grass,
2025-10-12,Miami Dolphins,,,,open,grass,
2025-10-12,Pittsburgh Steelers,,,,open,grass,
2025-10-12,Tampa Bay Buccaneers,,,,open,grass,
2025-10-12,Las Vegas Raiders,,,,fixed,grass,
2025-10-12,Green Bay Packers,,,,open,grass,
2025-10-12,New Orleans Saints,,,,fixed,artificial,
2025-10-12,Kansas City Chiefs,,,,open,grass,
