player,td24_rush,td24_rec,td24_total,career_rush,career_rec,career_total
a.a.iosivas,0,6,6,0,10,10
a.a.isabella,0,0,0,0,2,2
a.a.janovich,0,0,0,1,0,1
a.a.jeffery,0,0,0,0,1,1
a.a.jones,5,2,7,26,16,42
a.a.kamara,6,2,8,34,15,49
a.a.lazard,0,6,6,0,25,25
a.a.mattison,4,1,5,14,7,21
a.a.miller,0,0,0,0,3,3
a.a.morris,0,0,0,1,1,2
a.a.o'connell,1,0,1,2,0,2
a.a.ogletree,0,1,1,0,3,3
a.a.okwuegbunam,0,0,0,0,4,4
a.a.perry,0,0,0,0,4,4
a.a.peterson,0,0,0,9,0,9
a.a.pierce,0,7,7,1,11,12
a.a.richardson,6,0,6,10,0,10
a.a.robinson,0,0,0,0,7,7
a.a.rodgers,0,0,0,6,1,7
a.a.schwartz,0,0,0,1,1,2
a.a.shaheen,0,0,0,0,3,3
a.a.sherman,0,0,0,0,1,1
a.a.smith,0,1,1,0,1,1
a.a.tate,0,0,0,0,1,1
a.a.thielen,0,5,5,0,39,39
a.a.thomas,0,0,0,0,1,1
a.a.trautman,0,2,2,0,9,9
a.a.walter,0,0,0,1,0,1
a.a.wesley,0,0,0,0,3,3
a.a.williams,0,0,0,3,0,3
a.aa.rodgers,0,0,0,2,0,2
a.abdullah,2,3,5,2,7,9
a.al.robinson,0,0,0,0,3,3
a.armah,0,0,0,0,1,1
a.auclair,0,0,0,0,1,1
a.barner,0,4,4,0,4,4
a.beck,0,0,0,1,2,3
a.brown,0,9,9,0,56,56
a.carr,0,0,0,0,1,1
a.collins,0,0,0,4,0,4
a.cooper,0,5,5,0,33,33
a.dillon,0,0,0,17,2,19
a.dulin,0,1,1,0,4,4
a.ekeler,4,0,4,37,16,53
a.erickson,0,0,0,0,1,1
a.estime,2,0,2,2,0,2
a.firkser,0,0,0,0,3,3
a.gibson,1,0,1,23,7,30
a.green,0,0,0,0,7,7
a.hooper,0,3,3,0,13,13
a.humphries,0,0,0,0,2,2
a.ingold,1,0,1,2,3,5
a.iosivas,0,6,6,0,10,10
a.isabella,0,0,0,0,2,2
a.janovich,0,0,0,1,0,1
a.jeffery,0,0,0,0,1,1
a.jones,5,2,7,26,16,42
a.kamara,6,2,8,34,15,49
a.lazard,0,6,6,0,25,25
a.mattison,4,1,5,14,7,21
a.miller,0,0,0,0,3,3
a.morris,0,0,0,1,1,2
a.o'connell,1,0,1,2,0,2
a.ogletree,0,1,1,0,3,3
a.okwuegbunam,0,0,0,0,4,4
a.perry,0,0,0,0,4,4
a.peterson,0,0,0,9,0,9
a.pierce,0,7,7,1,11,12
a.richardson,6,0,6,10,0,10
a.robinson,0,0,0,0,7,7
a.rodgers,0,0,0,6,1,7
a.schwartz,0,0,0,1,1,2
a.shaheen,0,0,0,0,3,3
a.sherman,0,0,0,0,1,1
a.smith,0,1,1,0,1,1
a.st. brown,0,14,14,1,36,37
a.tate,0,0,0,0,1,1
a.thielen,0,5,5,0,39,39
a.thomas,0,0,0,0,1,1
a.trautman,0,2,2,0,9,9
a.walter,0,0,0,1,0,1
a.wesley,0,0,0,0,3,3
a.williams,0,0,0,3,0,3
aa.rodgers,0,0,0,2,0,2
al.robinson,0,0,0,0,3,3
b. b.aiyuk,0,0,0,2,26,28
b. b.allen,2,1,3,2,1,3
b. b.bell,0,0,0,0,2,2
b. b.berrios,0,0,0,4,6,10
b. b.bolden,0,0,0,2,3,5
b. b.bowers,0,5,5,0,5,5
b. b.cooks,0,3,3,0,26,26
b. b.edwards,0,0,0,0,4,4
b. b.hall,5,3,8,5,3,8
b. b.hill,0,0,0,1,0,1
b. b.irving,8,1,9,8,1,9
b. b.jarwin,0,0,0,0,2,2
b. b.johnson,0,0,0,0,5,5
b. b.jordan,0,0,0,0,6,6
b. b.mayfield,3,0,3,7,0,7
b. b.means,0,1,1,0,1,1
b. b.melton,0,0,0,0,2,2
b. b.nix,4,1,5,4,1,5
b. b.perriman,0,0,0,0,5,5
b. b.powell,0,0,0,0,3,3
b. b.pringle,0,0,0,0,11,11
b. b.purdy,5,0,5,9,0,9
b. b.robinson,24,1,25,35,10,45
b. b.roethlisberger,0,0,0,1,0,1
b. b.scott,0,0,0,14,1,15
b. b.sims,0,0,0,0,1,1
b. b.sinnott,0,1,1,0,1,1
b. b.skowronek,0,0,0,1,1,2
b. b.snell,0,0,0,5,0,5
b. b.strange,0,2,2,0,3,3
b. b.thomas,0,10,10,0,10,10
b. b.whiteheart,0,1,1,0,1,1
b. b.wright,0,2,2,0,9,9
b. b.young,6,0,6,6,0,6
b. b.zappe,0,0,0,1,0,1
b. b.zylstra,0,0,0,0,1,1
b. br.hall,0,0,0,4,1,5
b. bre.hall,0,0,0,5,4,9
b.aiyuk,0,0,0,2,26,28
b.allen,2,1,3,2,1,3
b.b.aiyuk,0,0,0,2,26,28
b.b.allen,2,1,3,2,1,3
b.b.bell,0,0,0,0,2,2
b.b.berrios,0,0,0,4,6,10
b.b.bolden,0,0,0,2,3,5
b.b.bowers,0,5,5,0,5,5
b.b.cooks,0,3,3,0,26,26
b.b.edwards,0,0,0,0,4,4
b.b.hall,5,3,8,5,3,8
b.b.hill,0,0,0,1,0,1
b.b.irving,8,1,9,8,1,9
b.b.jarwin,0,0,0,0,2,2
b.b.johnson,0,0,0,0,5,5
b.b.jordan,0,0,0,0,6,6
b.b.mayfield,3,0,3,7,0,7
b.b.means,0,1,1,0,1,1
b.b.melton,0,0,0,0,2,2
b.b.nix,4,1,5,4,1,5
b.b.perriman,0,0,0,0,5,5
b.b.powell,0,0,0,0,3,3
b.b.pringle,0,0,0,0,11,11
b.b.purdy,5,0,5,9,0,9
b.b.robinson,24,1,25,35,10,45
b.b.roethlisberger,0,0,0,1,0,1
b.b.scott,0,0,0,14,1,15
b.b.sims,0,0,0,0,1,1
b.b.sinnott,0,1,1,0,1,1
b.b.skowronek,0,0,0,1,1,2
b.b.snell,0,0,0,5,0,5
b.b.strange,0,2,2,0,3,3
b.b.thomas,0,10,10,0,10,10
b.b.whiteheart,0,1,1,0,1,1
b.b.wright,0,2,2,0,9,9
b.b.young,6,0,6,6,0,6
b.b.zappe,0,0,0,1,0,1
b.b.zylstra,0,0,0,0,1,1
b.bell,0,0,0,0,2,2
b.berrios,0,0,0,4,6,10
b.bolden,0,0,0,2,3,5
b.bowers,0,5,5,0,5,5
b.br.hall,0,0,0,4,1,5
b.bre.hall,0,0,0,5,4,9
b.cooks,0,3,3,0,26,26
b.edwards,0,0,0,0,4,4
b.hall,5,3,8,5,3,8
b.hill,0,0,0,1,0,1
b.irving,8,1,9,8,1,9
b.jarwin,0,0,0,0,2,2
b.johnson,0,0,0,0,5,5
b.jordan,0,0,0,0,6,6
b.mayfield,3,0,3,7,0,7
b.means,0,1,1,0,1,1
b.melton,0,0,0,0,2,2
b.nix,4,1,5,4,1,5
b.perriman,0,0,0,0,5,5
b.powell,0,0,0,0,3,3
b.pringle,0,0,0,0,11,11
b.purdy,5,0,5,9,0,9
b.robinson,24,1,25,35,10,45
b.roethlisberger,0,0,0,1,0,1
b.scott,0,0,0,14,1,15
b.sims,0,0,0,0,1,1
b.sinnott,0,1,1,0,1,1
b.skowronek,0,0,0,1,1,2
b.snell,0,0,0,5,0,5
b.strange,0,2,2,0,3,3
b.thomas,0,10,10,0,10,10
b.whiteheart,0,1,1,0,1,1
b.wright,0,2,2,0,9,9
b.young,6,0,6,6,0,6
b.zappe,0,0,0,1,0,1
b.zylstra,0,0,0,0,1,1
br.hall,0,0,0,4,1,5
bre.hall,0,0,0,5,4,9
c. c.akers,2,3,5,15,4,19
c. c.austin,0,4,4,1,6,7
c. c.batson,0,0,0,0,2,2
c. c.beasley,0,0,0,0,6,6
c. c.beebe,0,0,0,0,2,2
c. c.brate,0,0,0,0,8,8
c. c.brooks,1,0,1,1,0,1
c. c.brown,7,4,11,7,5,12
c. c.carson,0,0,0,8,4,12
c. c.claypool,0,0,0,2,15,17
c. c.clement,0,0,0,2,1,3
c. c.conley,0,0,0,0,4,4
c. c.davis,0,0,0,0,11,11
c. c.edmonds,0,0,0,5,5,10
c. c.edwards-helaire,0,0,0,13,7,20
c. c.evans,0,0,0,0,3,3
c. c.godwin,0,5,5,2,24,26
c. c.grayson,0,0,0,0,2,2
c. c.ham,1,0,1,3,1,4
c. c.hansen,0,0,0,0,1,1
c. c.henne,0,0,0,1,0,1
c. c.herndon,0,0,0,0,4,4
c. c.hogan,0,0,0,0,1,1
c. c.hubbard,10,1,11,22,2,24
c. c.huntley,0,0,0,1,0,1
c. c.hyde,0,0,0,5,0,5
c. c.johnson,0,0,0,0,2,2
c. c.kirk,0,1,1,0,25,25
c. c.kmet,0,4,4,0,19,19
c. c.kolar,0,1,1,0,2,2
c. c.kupp,0,6,6,1,42,43
c. c.lamb,0,6,6,3,39,42
c. c.manhertz,0,1,1,0,2,2
c. c.mccaffrey,0,0,0,34,16,50
c. c.mcdermott,0,0,0,0,1,1
c. c.moore,0,0,0,0,4,4
c. c.myarick,0,0,0,0,2,2
c. c.newton,0,0,0,17,1,18
c. c.okonkwo,0,2,2,0,6,6
c. c.olave,0,1,1,0,10,10
c. c.otton,0,4,4,0,11,11
c. c.parkinson,0,2,2,0,6,6
c. c.patterson,0,1,1,15,7,22
c. c.prosise,0,0,0,0,1,1
c. c.reynolds,0,0,0,2,0,2
c. c.ridley,1,4,5,1,23,24
c. c.rodriguez,2,0,2,4,0,4
c. c.rogers,0,0,0,0,1,1
c. c.samuel,0,3,3,4,14,18
c. c.sims,0,0,0,0,3,3
c. c.stover,0,1,1,0,1,1
c. c.stroud,0,0,0,3,0,3
c. c.sutton,0,8,8,0,22,22
c. c.thompson,0,0,0,0,2,2
c. c.tillman,0,3,3,0,3,3
c. c.tune,0,0,0,1,0,1
c. c.uzomah,0,0,0,0,10,10
c. c.watson,0,2,2,2,14,16
c. c.wentz,0,0,0,8,0,8
c. c.wilkins,0,0,0,0,1,1
c. c.wilson,0,1,1,0,12,12
c. co.heyward,0,1,1,0,2,2
c.akers,2,3,5,15,4,19
c.austin,0,4,4,1,6,7
c.batson,0,0,0,0,2,2
c.beasley,0,0,0,0,6,6
c.beebe,0,0,0,0,2,2
c.brate,0,0,0,0,8,8
c.brooks,1,0,1,1,0,1
c.brown,7,4,11,7,5,12
c.c.akers,2,3,5,15,4,19
c.c.austin,0,4,4,1,6,7
c.c.batson,0,0,0,0,2,2
c.c.beasley,0,0,0,0,6,6
c.c.beebe,0,0,0,0,2,2
c.c.brate,0,0,0,0,8,8
c.c.brooks,1,0,1,1,0,1
c.c.brown,7,4,11,7,5,12
c.c.carson,0,0,0,8,4,12
c.c.claypool,0,0,0,2,15,17
c.c.clement,0,0,0,2,1,3
c.c.conley,0,0,0,0,4,4
c.c.davis,0,0,0,0,11,11
c.c.edmonds,0,0,0,5,5,10
c.c.edwards-helaire,0,0,0,13,7,20
c.c.evans,0,0,0,0,3,3
c.c.godwin,0,5,5,2,24,26
c.c.grayson,0,0,0,0,2,2
c.c.ham,1,0,1,3,1,4
c.c.hansen,0,0,0,0,1,1
c.c.henne,0,0,0,1,0,1
c.c.herndon,0,0,0,0,4,4
c.c.hogan,0,0,0,0,1,1
c.c.hubbard,10,1,11,22,2,24
c.c.huntley,0,0,0,1,0,1
c.c.hyde,0,0,0,5,0,5
c.c.johnson,0,0,0,0,2,2
c.c.kirk,0,1,1,0,25,25
c.c.kmet,0,4,4,0,19,19
c.c.kolar,0,1,1,0,2,2
c.c.kupp,0,6,6,1,42,43
c.c.lamb,0,6,6,3,39,42
c.c.manhertz,0,1,1,0,2,2
c.c.mccaffrey,0,0,0,34,16,50
c.c.mcdermott,0,0,0,0,1,1
c.c.moore,0,0,0,0,4,4
c.c.myarick,0,0,0,0,2,2
c.c.newton,0,0,0,17,1,18
c.c.okonkwo,0,2,2,0,6,6
c.c.olave,0,1,1,0,10,10
c.c.otton,0,4,4,0,11,11
c.c.parkinson,0,2,2,0,6,6
c.c.patterson,0,1,1,15,7,22
c.c.prosise,0,0,0,0,1,1
c.c.reynolds,0,0,0,2,0,2
c.c.ridley,1,4,5,1,23,24
c.c.rodriguez,2,0,2,4,0,4
c.c.rogers,0,0,0,0,1,1
c.c.samuel,0,3,3,4,14,18
c.c.sims,0,0,0,0,3,3
c.c.stover,0,1,1,0,1,1
c.c.stroud,0,0,0,3,0,3
c.c.sutton,0,8,8,0,22,22
c.c.thompson,0,0,0,0,2,2
c.c.tillman,0,3,3,0,3,3
c.c.tune,0,0,0,1,0,1
c.c.uzomah,0,0,0,0,10,10
c.c.watson,0,2,2,2,14,16
c.c.wentz,0,0,0,8,0,8
c.c.wilkins,0,0,0,0,1,1
c.c.wilson,0,1,1,0,12,12
c.carson,0,0,0,8,4,12
c.claypool,0,0,0,2,15,17
c.clement,0,0,0,2,1,3
c.co.heyward,0,1,1,0,2,2
c.conley,0,0,0,0,4,4
c.davis,0,0,0,0,11,11
c.edmonds,0,0,0,5,5,10
c.edwards-helaire,0,0,0,13,7,20
c.evans,0,0,0,0,3,3
c.godwin,0,5,5,2,24,26
c.grayson,0,0,0,0,2,2
c.ham,1,0,1,3,1,4
c.hansen,0,0,0,0,1,1
c.henne,0,0,0,1,0,1
c.herndon,0,0,0,0,4,4
c.hogan,0,0,0,0,1,1
c.hubbard,10,1,11,22,2,24
c.huntley,0,0,0,1,0,1
c.hyde,0,0,0,5,0,5
c.johnson,0,0,0,0,2,2
c.kirk,0,1,1,0,25,25
c.kmet,0,4,4,0,19,19
c.kolar,0,1,1,0,2,2
c.kupp,0,6,6,1,42,43
c.lamb,0,6,6,3,39,42
c.manhertz,0,1,1,0,2,2
c.mccaffrey,0,0,0,34,16,50
c.mcdermott,0,0,0,0,1,1
c.moore,0,0,0,0,4,4
c.myarick,0,0,0,0,2,2
c.newton,0,0,0,17,1,18
c.okonkwo,0,2,2,0,6,6
c.olave,0,1,1,0,10,10
c.otton,0,4,4,0,11,11
c.parkinson,0,2,2,0,6,6
c.patterson,0,1,1,15,7,22
c.prosise,0,0,0,0,1,1
c.reynolds,0,0,0,2,0,2
c.ridley,1,4,5,1,23,24
c.rodriguez,2,0,2,4,0,4
c.rogers,0,0,0,0,1,1
c.samuel,0,3,3,4,14,18
c.sims,0,0,0,0,3,3
c.stover,0,1,1,0,1,1
c.stroud,0,0,0,3,0,3
c.sutton,0,8,8,0,22,22
c.thompson,0,0,0,0,2,2
c.tillman,0,3,3,0,3,3
c.tune,0,0,0,1,0,1
c.uzomah,0,0,0,0,10,10
c.watson,0,2,2,2,14,16
c.wentz,0,0,0,8,0,8
c.wilkins,0,0,0,0,1,1
c.wilson,0,1,1,0,12,12
co.heyward,0,1,1,0,2,2
d. d.achane,6,6,12,14,9,23
d. d.adams,0,8,8,0,61,61
d. d.allen,0,1,1,0,2,2
d. d.amendola,0,0,0,0,3,3
d. d.arnold,0,0,0,0,4,4
d. d.asiasi,0,0,0,0,1,1
d. d.bellinger,0,0,0,1,3,4
d. d.booker,0,0,0,5,1,6
d. d.brees,0,0,0,2,0,2
d. d.brown,0,2,2,0,5,5
d. d.bryant,0,0,0,0,2,2
d. d.byrd,0,0,0,0,4,4
d. d.carr,1,0,1,4,0,4
d. d.carter,0,0,0,0,6,6
d. d.chark,0,1,1,0,12,12
d. d.cook,0,0,0,30,3,33
d. d.dafney,0,0,0,0,1,1
d. d.dallas,0,1,1,4,2,6
d. d.daniels,0,0,0,0,1,1
d. d.davis,0,2,2,0,2,2
d. d.douglas,0,3,3,0,3,3
d. d.duvernay,0,0,0,1,5,6
d. d.eskridge,0,0,0,0,1,1
d. d.evans,0,0,0,1,1,2
d. d.fells,0,0,0,0,4,4
d. d.felton,0,0,0,0,2,2
d. d.fitzpatrick,0,0,0,0,1,1
d. d.foreman,0,0,0,12,2,14
d. d.freeman,0,0,0,6,1,7
d. d.goedert,0,3,3,0,18,18
d. d.gore,0,0,0,2,0,2
d. d.hamilton,0,0,0,0,2,2
d. d.harris,0,0,0,21,4,25
d. d.harty,0,0,0,0,1,1
d. d.haskins,0,0,0,1,0,1
d. d.henderson,0,0,0,15,4,19
d. d.henry,19,2,21,72,2,74
d. d.hilliard,0,0,0,2,4,6
d. d.hopkins,0,6,6,0,30,30
d. d.inman,0,0,0,0,2,2
d. d.jackson,0,0,0,1,4,5
d. d.johnson,0,0,0,9,23,32
d. d.jones,2,0,2,13,0,13
d. d.kincaid,0,2,2,0,5,5
d. d.knox,0,1,1,0,27,27
d. d.lewis,0,0,0,2,1,3
d. d.lock,2,0,2,7,0,7
d. d.london,0,9,9,0,15,15
d. d.maye,2,0,2,2,0,2
d. d.metcalf,0,5,5,0,45,45
d. d.mills,0,0,0,2,0,2
d. d.milne,0,0,0,0,1,1
d. d.montgomery,12,0,12,47,4,51
d. d.mooney,0,5,5,1,16,17
d. d.moore,0,9,9,1,36,37
d. d.njoku,0,5,5,0,21,21
d. d.ogunbowale,0,1,1,2,2,4
d. d.parham,0,0,0,0,8,8
d. d.parker,0,0,0,0,9,9
d. d.patmon,0,0,0,0,1,1
d. d.peoples-jones,0,0,0,0,8,8
d. d.pettis,0,1,1,0,6,6
d. d.pierce,2,0,2,8,1,9
d. d.pinter,0,0,0,0,1,1
d. d.prescott,1,0,1,10,1,11
d. d.ridder,0,0,0,5,0,5
d. d.robinson,0,7,7,0,20,20
d. d.sample,0,1,1,0,4,4
d. d.samuel,1,3,4,18,21,39
d. d.schultz,0,2,2,0,28,28
d. d.singletary,4,0,4,26,2,28
d. d.skipper,0,1,1,0,1,1
d. d.slayton,0,2,2,0,13,13
d. d.smith,0,9,9,0,29,29
d. d.smythe,0,0,0,1,3,4
d. d.swift,6,0,6,29,8,37
d. d.thompkins,0,0,0,0,1,1
d. d.thompson,0,0,0,1,1,2
d. d.turner,1,1,2,1,1,2
d. d.vele,0,3,3,0,3,3
d. d.walker,0,1,1,0,1,1
d. d.waller,0,0,0,0,15,15
d. d.washington,0,1,1,0,1,1
d. d.watson,1,0,1,6,0,6
d. d.watt,0,0,0,1,1,2
d. d.webb,0,0,0,1,0,1
d. d.wicks,0,5,5,0,10,10
d. d.williams,0,0,0,3,1,4
d. da.johnson,0,0,0,4,1,5
d. da.williams,0,0,0,6,2,8
d. darr.williams,0,0,0,2,0,2
d. dav.bell,0,0,0,0,3,3
d. de.jackson,0,0,0,1,0,1
d. di.johnson,0,2,2,0,4,4
d. dio.johnson,0,1,1,0,1,1
d. dj.moore,0,0,0,0,4,4
d. jr.,0,0,0,0,4,4
d.achane,6,6,12,14,9,23
d.adams,0,8,8,0,61,61
d.allen,0,1,1,0,2,2
d.amendola,0,0,0,0,3,3
d.arnold,0,0,0,0,4,4
d.asiasi,0,0,0,0,1,1
d.bellinger,0,0,0,1,3,4
d.booker,0,0,0,5,1,6
d.brees,0,0,0,2,0,2
d.brown,0,2,2,0,5,5
d.bryant,0,0,0,0,2,2
d.byrd,0,0,0,0,4,4
d.carr,1,0,1,4,0,4
d.carter,0,0,0,0,6,6
d.chark,0,1,1,0,12,12
d.chark jr.,0,0,0,0,4,4
d.cook,0,0,0,30,3,33
d.d.achane,6,6,12,14,9,23
d.d.adams,0,8,8,0,61,61
d.d.allen,0,1,1,0,2,2
d.d.amendola,0,0,0,0,3,3
d.d.arnold,0,0,0,0,4,4
d.d.asiasi,0,0,0,0,1,1
d.d.bellinger,0,0,0,1,3,4
d.d.booker,0,0,0,5,1,6
d.d.brees,0,0,0,2,0,2
d.d.brown,0,2,2,0,5,5
d.d.bryant,0,0,0,0,2,2
d.d.byrd,0,0,0,0,4,4
d.d.carr,1,0,1,4,0,4
d.d.carter,0,0,0,0,6,6
d.d.chark,0,1,1,0,12,12
d.d.cook,0,0,0,30,3,33
d.d.dafney,0,0,0,0,1,1
d.d.dallas,0,1,1,4,2,6
d.d.daniels,0,0,0,0,1,1
d.d.davis,0,2,2,0,2,2
d.d.douglas,0,3,3,0,3,3
d.d.duvernay,0,0,0,1,5,6
d.d.eskridge,0,0,0,0,1,1
d.d.evans,0,0,0,1,1,2
d.d.fells,0,0,0,0,4,4
d.d.felton,0,0,0,0,2,2
d.d.fitzpatrick,0,0,0,0,1,1
d.d.foreman,0,0,0,12,2,14
d.d.freeman,0,0,0,6,1,7
d.d.goedert,0,3,3,0,18,18
d.d.gore,0,0,0,2,0,2
d.d.hamilton,0,0,0,0,2,2
d.d.harris,0,0,0,21,4,25
d.d.harty,0,0,0,0,1,1
d.d.haskins,0,0,0,1,0,1
d.d.henderson,0,0,0,15,4,19
d.d.henry,19,2,21,72,2,74
d.d.hilliard,0,0,0,2,4,6
d.d.hopkins,0,6,6,0,30,30
d.d.inman,0,0,0,0,2,2
d.d.jackson,0,0,0,1,4,5
d.d.johnson,0,0,0,9,23,32
d.d.jones,2,0,2,13,0,13
d.d.kincaid,0,2,2,0,5,5
d.d.knox,0,1,1,0,27,27
d.d.lewis,0,0,0,2,1,3
d.d.lock,2,0,2,7,0,7
d.d.london,0,9,9,0,15,15
d.d.maye,2,0,2,2,0,2
d.d.metcalf,0,5,5,0,45,45
d.d.mills,0,0,0,2,0,2
d.d.milne,0,0,0,0,1,1
d.d.montgomery,12,0,12,47,4,51
d.d.mooney,0,5,5,1,16,17
d.d.moore,0,9,9,1,36,37
d.d.njoku,0,5,5,0,21,21
d.d.ogunbowale,0,1,1,2,2,4
d.d.parham,0,0,0,0,8,8
d.d.parker,0,0,0,0,9,9
d.d.patmon,0,0,0,0,1,1
d.d.peoples-jones,0,0,0,0,8,8
d.d.pettis,0,1,1,0,6,6
d.d.pierce,2,0,2,8,1,9
d.d.pinter,0,0,0,0,1,1
d.d.prescott,1,0,1,10,1,11
d.d.ridder,0,0,0,5,0,5
d.d.robinson,0,7,7,0,20,20
d.d.sample,0,1,1,0,4,4
d.d.samuel,1,3,4,18,21,39
d.d.schultz,0,2,2,0,28,28
d.d.singletary,4,0,4,26,2,28
d.d.skipper,0,1,1,0,1,1
d.d.slayton,0,2,2,0,13,13
d.d.smith,0,9,9,0,29,29
d.d.smythe,0,0,0,1,3,4
d.d.swift,6,0,6,29,8,37
d.d.thompkins,0,0,0,0,1,1
d.d.thompson,0,0,0,1,1,2
d.d.turner,1,1,2,1,1,2
d.d.vele,0,3,3,0,3,3
d.d.walker,0,1,1,0,1,1
d.d.waller,0,0,0,0,15,15
d.d.washington,0,1,1,0,1,1
d.d.watson,1,0,1,6,0,6
d.d.watt,0,0,0,1,1,2
d.d.webb,0,0,0,1,0,1
d.d.wicks,0,5,5,0,10,10
d.d.williams,0,0,0,3,1,4
d.da.johnson,0,0,0,4,1,5
d.da.williams,0,0,0,6,2,8
d.dafney,0,0,0,0,1,1
d.dallas,0,1,1,4,2,6
d.daniels,0,0,0,0,1,1
d.darr.williams,0,0,0,2,0,2
d.dav.bell,0,0,0,0,3,3
d.davis,0,2,2,0,2,2
d.de.jackson,0,0,0,1,0,1
d.di.johnson,0,2,2,0,4,4
d.dio.johnson,0,1,1,0,1,1
d.dj.moore,0,0,0,0,4,4
d.douglas,0,3,3,0,3,3
d.duvernay,0,0,0,1,5,6
d.eskridge,0,0,0,0,1,1
d.evans,0,0,0,1,1,2
d.fells,0,0,0,0,4,4
d.felton,0,0,0,0,2,2
d.fitzpatrick,0,0,0,0,1,1
d.foreman,0,0,0,12,2,14
d.freeman,0,0,0,6,1,7
d.goedert,0,3,3,0,18,18
d.gore,0,0,0,2,0,2
d.hamilton,0,0,0,0,2,2
d.harris,0,0,0,21,4,25
d.harty,0,0,0,0,1,1
d.haskins,0,0,0,1,0,1
d.henderson,0,0,0,15,4,19
d.henry,19,2,21,72,2,74
d.hilliard,0,0,0,2,4,6
d.hopkins,0,6,6,0,30,30
d.inman,0,0,0,0,2,2
d.jackson,0,0,0,1,4,5
d.johnson,0,0,0,9,23,32
d.jones,2,0,2,13,0,13
d.jr.,0,0,0,0,4,4
d.kincaid,0,2,2,0,5,5
d.knox,0,1,1,0,27,27
d.lewis,0,0,0,2,1,3
d.lock,2,0,2,7,0,7
d.london,0,9,9,0,15,15
d.maye,2,0,2,2,0,2
d.metcalf,0,5,5,0,45,45
d.mills,0,0,0,2,0,2
d.milne,0,0,0,0,1,1
d.montgomery,12,0,12,47,4,51
d.mooney,0,5,5,1,16,17
d.moore,0,9,9,1,36,37
d.njoku,0,5,5,0,21,21
d.ogunbowale,0,1,1,2,2,4
d.parham,0,0,0,0,8,8
d.parham jr.,0,0,0,0,3,3
d.parker,0,0,0,0,9,9
d.patmon,0,0,0,0,1,1
d.peoples-jones,0,0,0,0,8,8
d.pettis,0,1,1,0,6,6
d.pierce,2,0,2,8,1,9
d.pinter,0,0,0,0,1,1
d.prescott,1,0,1,10,1,11
d.ridder,0,0,0,5,0,5
d.robinson,0,7,7,0,20,20
d.sample,0,1,1,0,4,4
d.samuel,1,3,4,18,21,39
