player,td24_rush,td24_rec,td24_total,career_rush,career_rec,career_total
a. a.abdullah,2,3,5,2,7,9
a. a.armah,0,0,0,0,1,1
a. a.auclair,0,0,0,0,1,1
a. a.barner,0,4,4,0,4,4
a. a.beck,0,0,0,1,2,3
a. a.brown,0,9,9,0,56,56
a. a.carr,0,0,0,0,1,1
a. a.collins,0,0,0,4,0,4
a. a.cooper,0,5,5,0,33,33
a. a.dillon,0,0,0,17,2,19
a. a.dulin,0,1,1,0,4,4
a. a.ekeler,4,0,4,37,16,53
a. a.erickson,0,0,0,0,1,1
a. a.estime,2,0,2,2,0,2
a. a.firkser,0,0,0,0,3,3
a. a.gibson,1,0,1,23,7,30
a. a.green,0,0,0,0,7,7
a. a.hooper,0,3,3,0,13,13
a. a.humphries,0,0,0,0,2,2
a. a.ingold,1,0,1,2,3,5
a. a.iosivas,0,6,6,0,10,10
a. a.isabella,0,0,0,0,2,2
a. a.janovich,0,0,0,1,0,1
a. a.jeffery,0,0,0,0,1,1
a. a.jones,5,2,7,26,16,42
a. a.kamara,6,2,8,34,15,49
a. a.lazard,0,6,6,0,25,25
a. a.mattison,4,1,5,14,7,21
a. a.miller,0,0,0,0,3,3
a. a.morris,0,0,0,1,1,2
a. a.o'connell,1,0,1,2,0,2
a. a.ogletree,0,1,1,0,3,3
a. a.okwuegbunam,0,0,0,0,4,4
a. a.perry,0,0,0,0,4,4
a. a.peterson,0,0,0,9,0,9
a. a.pierce,0,7,7,1,11,12
a. a.richardson,6,0,6,10,0,10
a. a.robinson,0,0,0,0,7,7
a. a.rodgers,0,0,0,6,1,7
a. a.schwartz,0,0,0,1,1,2
a. a.shaheen,0,0,0,0,3,3
a. a.sherman,0,0,0,0,1,1
a. a.smith,0,1,1,0,1,1
a. a.tate,0,0,0,0,1,1
a. a.thielen,0,5,5,0,39,39
a. a.thomas,0,0,0,0,1,1
a. a.trautman,0,2,2,0,9,9
a. a.walter,0,0,0,1,0,1
a. a.wesley,0,0,0,0,3,3
a. a.williams,0,0,0,3,0,3
a. aa.rodgers,0,0,0,2,0,2
a. al.robinson,0,0,0,0,3,3
a. brown,0,14,14,1,36,37
a.a.abdullah,2,3,5,2,7,9
a.a.armah,0,0,0,0,1,1
a.a.auclair,0,0,0,0,1,1
a.a.barner,0,4,4,0,4,4
a.a.beck,0,0,0,1,2,3
a.a.brown,0,9,9,0,56,56
a.a.carr,0,0,0,0,1,1
a.a.collins,0,0,0,4,0,4
a.a.cooper,0,5,5,0,33,33
a.a.dillon,0,0,0,17,2,19
a.a.dulin,0,1,1,0,4,4
a.a.ekeler,4,0,4,37,16,53
a.a.erickson,0,0,0,0,1,1
a.a.estime,2,0,2,2,0,2
a.a.firkser,0,0,0,0,3,3
a.a.gibson,1,0,1,23,7,30
a.a.green,0,0,0,0,7,7
a.a.hooper,0,3,3,0,13,13
a.a.humphries,0,0,0,0,2,2
a.a.ingold,1,0,1,2,3,5
