date,home_team,wx_temp_f,wx_wind_mph,wx_precip_pct,roof,surface,neutral_site
2025-09-14,Baltimore Ravens,,,,open,grass,
2025-09-14,Cincinnati Bengals,,,,open,artificial,
2025-09-14,Dallas Cowboys,,,,retractable,artificial,
2025-09-14,Detroit Lions,,,,fixed,artificial,
2025-09-14,Miami Dolphins,,,,open,grass,
2025-09-14,New Orleans Saints,,,,fixed,artificial,
2025-09-14,New York Jets,,,,open,artificial,
2025-09-14,Pittsburgh Steelers,,,,open,grass,
2025-09-14,Tennessee Titans,,,,open,grass,
2025-09-14,Arizona Cardinals,,,,retractable,grass,
2025-09-14,Indianapolis Colts,,,,retractable,artificial,
2025-09-14,Kansas City Chiefs,,,,open,grass,
2025-09-14,Minnesota Vikings,,,,fixed,artificial,
